time_s,scenario_name,action_type,status,detail,payload
182,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
183,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
184,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
185,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
186,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
187,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
188,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
189,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
190,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
191,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
192,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
193,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
194,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
195,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
196,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
197,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
198,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
199,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
200,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
201,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
202,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
203,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
204,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
205,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
206,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
207,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
208,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
209,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
210,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
211,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
212,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
213,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
214,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
215,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
216,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
217,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
218,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
219,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
220,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
221,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
222,CPRForceScale,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForceScale"": {""unit"": null, ""value"": 0.6228}}"
